No.,COMPANY,PRODUCT NAME,TYPE OF PRODUCT,GUARANTEED ANALYSIS,TARGET CROP/S,REGISTRATION NO.,EXPIRY DATE
14,ABG Trading Corporation,Haifa Netafeed 11-11-33,Inorganic Fertilizer,"N=11%, P2O5=11%, K2O=33%",All Crops,1-1IF-9033,"March 21, 2026"
15,ABG Trading Corporation,Novacid 12-4-36+3CaO+TE,Inorganic Fertilizer,"N=12%, P2O5=4%, K2O=36%, CaO=3%, Fe=400ppm, Mn= 200ppm, Zn=100ppm, Cu=50ppm, Mo=50ppm, B=360ppm","Tomato, Lettuce, Cabbage, Cucumber, Pepper, Eggplant, Melon, Watermelon, Potato, Carrots, Apple",1-1IF-9295,"October 20, 2026"
16,ABG Trading Corporation,Novacid 19-19-19+3CaO+TE,Inorganic Fertilizer,"N=19%, P2O5=19%, K2O=19%, CaO=3%, Fe=400ppm, Mn= 200ppm, Zn=100ppm, Cu=50ppm, Mo=50ppm, B=360ppm",All Crops,1-1IF-9297,"October 25, 2026"
17,ABG Trading Corporation,Haifa - MKP,Inorganic Fertilizer,"P2O5=52%, K2O=34%",All Crops,1-1IF-9712,"March 18, 2028"
18,"Ace Crop Solutions, Inc.",Ace NPK 15-15-30,Inorganic Fertilizer,"N=15%, P2O5=15%, K2O=30%, Fe=0.10%, Mn=0.01%, B=0.05%, Zn=0.05%, Cu=0.01%, Mo=0.003%",All Crops,1-1IF-0639-TPA,"November 15, 2025"
19,"Ace Crop Solutions, Inc.",Ace Paclo 25SC,Plant Growth Regulator,Paclobutrazol=25%,Mango,1-5IF-1116,"April 02, 2026"
20,Ada Manufacturing Corporation,Adrite Zinc Sulfate,Inorganic Fertilizer,"Zn=22%, S=10%",All Crops,1-1IF-0812-TPA,"March 04, 2027"
21,Ada Manufacturing Corporation,Adrite Humic Acid,Soil Conditioner,Humic Acid=65%,All Crops,1-4IF-0819-TPA,"April 02, 2027"
22,Ada Manufacturing Corporation,Adaboost,Biofertilizer,Vesicular Arbuscular Mycorrhizae (VAM) =100 spores/g,"Rice, Annual and Biennial Industrial Crops, Fruiting and Leafy Vegetables, Corn, Root Crops and Perennial Industrial Crops",1-7IF-0535-TPA,"February 01, 2028"
23,Adtech International Agri Trading,Rapid Grow Boost,Soil Conditioner,Total Potassium Humate and Fulvate=85%,All Crops,1-4IF-0965-TPA,"March 20, 2026"
24,Adtech International Agri Trading,Rapidfoliar,Soil Conditioner,Potassium Humate = 26% w/v,All Crops,1-4IF-0963-TPA,"December 08, 2026"
25,Adtech International Agri Trading,BioProtekt Biofertilizer,Biofertilizer,Trichoderma spp.=1.2x108 cfu/g,All Crops,1-7LF-0969-TPA,"February 26, 2028"
26,Agchem Manufacturing Corporation,Mangotone,Inorganic Fertilizer,"NaNO3=31% w/v, KNO3=20% w/v",Mango,1-5LF-043,"September 15, 2026"
27,Agchem Manufacturing Corporation,Golden Set Mango Flower Inducer,Inorganic Fertilizer,"NaNO3=50%w/w, KNO3=35%w/w",Mango,1-5LF-020,"August 14, 2026"
28,Agchem Manufacturing Corporation,AMC Extra Grow,Inorganic Fertilizer,"N=3.93%, P2O5=1.62%, K2O=2.95%",All Crops,1-1IF-9795,"June 24, 2028"
29,Agfield Agro-Solutions Inc.,Nutrio,Biofertilizer,Enterobacter sacchari=1.0x10? cfu/g,"Rice, Corn, Pechay, Annual and Biennial Industrial Crops",1-7LF-0954-TPA,"December 04, 2025"
30,Agri Bunch Products OPC,Agri Planters ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9048,"April 14, 2026"
31,Agri Bunch Products OPC,Agri Planters Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9049,"April 14, 2026"
32,Agri Bunch Products OPC,Agri Planters Complete Fertilizer 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9050,"April 14, 2026"
33,Agri Bunch Products OPC,Agri Planters ammonium sulphate 21-0-0,Inorganic Fertilizer,N=21%,All Crops,1-1IF-9051,"April 14, 2026"
34,Agri Bunch Products OPC,Agri planters Zinc sulphate Heptahydrate,Inorganic Fertilizer,Zn=21%,All Crops,1-1IF-9052,"April 14, 2026"
35,Agri Bunch Products OPC,Global Cote Calcium Ammonium Nitrate,Inorganic Fertilizer,"N=15.5%, Ca=18.5%",All Crops,1-1IF-9053,"April 14, 2026"
36,Agri Bunch Products OPC,Agri Planters Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9046,"April 14, 2026"
37,Agri Bunch Products OPC,Agri Planters ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9047,"April 14, 2026"
38,Agri Bunch Products OPC,Global Cote Calcium Ammonium Nitrate,Inorganic Fertilizer,"N=15.5%, Ca=18.5%",All Crops,1-1IF-9184,"August 10, 2026"
39,Agri Bunch Products OPC,First Cote Plus calcium Ammonium Nitrate,Inorganic Fertilizer,"N=15.5%, Ca=18%",All Crops,1-1IF-0820-TPA,"September 23, 2025"
40,Agri Bunch Products OPC,Agri Planters Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zinc=21%,"Rice, Banana & Pineapple",1-1IF-9464,"May 22, 2027"
41,Agri Bunch Products OPC,Agri Planters Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn= 21%,All Crops,1-1IF-9516,"July 11, 2027"
42,Agri Bunch Products OPC,First Planters MOP 0-0-60,Inorganic Fertilizer,K2O=60% min.,All Crops,1-1IF-0850-TPA,"February 01, 2027"
43,Agri Bunch Products OPC,First Planters Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn=21% min.,All Crops,1-1IF-0647-TPA,"August 11, 2027"
44,Agri Bunch Products OPC,Agri Planters Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-9534,"August 06, 2027"
45,Agri Bunch Products OPC,Global Cote Calcium Nitrate Granular,Inorganic Fertilizer,"N=15.5%, Ca=18.1%, CaO=26.1%",All Crops,1-1IF-9563,"October 02, 2027"
46,Agri Bunch Products OPC,Global Cote Calcium Ammonium Nitrate,Inorganic Fertilizer,"N=15.5%, Ca=18.5%",All Crops,1-1IF-9575,"October 01, 2027"
47,Agri Bunch Products OPC,Agri K Plus NPK 12-6-40,Inorganic Fertilizer,"N=12%, P2O5=6%, K2O=40%","Mango, Tobacco, Bell Pepper",1-1IF-9462,"May 15, 2027"
48,"Agri Ecologics Phils., OPC",Bugani,Decomposer,Bacillus spp.=2.2x107 cfu/g,Raw Material,1-7LF-0930-TPA,"October 03, 2026"
49,Agri Go Pro Inc.,UltraBoost,Inorganic Fertilizer,"N=1%, B=0.03%, Co=0.002%, Mo=0.002%, Zn=0.05%","Fruiting and Leafy Vegetables, Rice",1-1IF-9329,"December 18, 2026"
50,"Agri Specialist, Inc.",BIO N (Soil-Charcoal as Carrier),Biofertilizer,Azospirillum spp.=1x107 cfu/g,All Crops,1-7LF-0105,"January 31, 2028"
51,"Agri Specialist, Inc.",BIO N (Bentonite as Carrier),Biofertilizer,Azospirillum spp.=1x107 cfu/g,Rice and Corn,1-7LF-0106,"January 31, 2029"
52,"Agribase Chemicals, Inc.",Mango Plus Mango Flower Inducer,Inorganic Fertilizer,"NaNO3=50%, KNO3=35%",Mango,1-5LF-1109-TPA,"August 14, 2026"
53,Agricrops Industries Inc.,Farm Booster Liquid,Inorganic Fertilizer,"N=1.5%, P2O5=0.7%, K2O=0.9%",Sugarcane,1-1LF-4125,"November 23, 2027"
54,Agric's Enterprises,Alexin,Inorganic Fertilizer,"K2O=6.9% w/v, CaO=4.7% w/v, MgO=1.8% w/v, B=0.3% w/v",All Crops,1-1IF-8348,"July 23, 2027"
55,"Agrifix Farm Development and Supply, Inc.",Terralizer,Fortified Organic Fertilizer,"N=2.84%, P2O5=3.95%, K2O=3.66%",Rice,1-2LF-0821-TPA,"January 24, 2027"
56,"Agrifix Farm Development and Supply, Inc.",Terrabooster,Biofertilizer,"N=6%, P2O5=6%, K2O=3.5%, Bacillus spp. 1x106 cfu/g",All Crops,1-7LF-0839-TPA,"May 13, 2027"
57,Agrigrowth International Corporation,AIC Zinc-N+ Fertilizer,Inorganic Fertilizer,"N=5.19%w/w, Ca= 6.48%w/w, S=10.73% w/w, Zn=20.5% w/w",All Crops,1-1LF-8807,"August 09, 2025"
58,Agrigrowth International Corporation,AIC Fortem+ Foliar,Inorganic Fertilizer,"N=4.4%, P2O5=3.4%, K2O=4.2%, Humic Acid=8.3%, Ca=600ppm, B=300ppm, S=100ppm, Organic Matter=9.2%, Organic Carbon=5.3%",All Crops,1-1LF-8845,"September 14, 2025"
59,Agrigrowth International Corporation,AIC Seaweed Powder (RM-05),Raw Material,"N=2%,P2O5=0.10%, K2O=0.8%, Ca=0.14%",Raw Material,1-6IF-1543,"June 22, 2026"
60,Agrigrowth International Corporation,Nitru-35 Liquid Urea,Inorganic Fertilizer,N=35% w/v,All Crops,1-1IF-8080,"October 15, 2026"
61,Agrigrowth International Corporation,AIC Humusplus H90,Soil Conditioner,"Humic Acid=90%, K2O=10%, OM=80% w/w",All Crops,1-4IF-1349,"November 06, 2026"
62,Agrigrowth International Corporation,Humusplus,Soil Conditioner,"Humic Acid=8%, K2O=10%, OM=90.50%, pH=9.9",All Crops,1-1IF-2894,"August 26, 2025"
63,Agrigrowth International Corporation,AIC Salt,Inorganic Fertilizer,NaCl=81.62%,Coconut,1-1LF-9422,"April 02, 2027"
64,Agrigrowth International Corporation,AIC BIO-H600,Biofertilizer,"Bacillus subtilis and Bacillus mucilaginosus=3.8x108 cfu/g, Humic Acid=9.3%, Organic Matter=68.5%",Rice,1-7LF-0079,"April 01, 2028"
65,Agrigrowth International Corporation,AIC TH-14 Complete Foliar,Inorganic Foliar Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8892,"November 03, 2025"
66,Agrigrowth International Corporation,AIC Crescer GA3,Plant Growth Regulator,Gibberellic Acid=40%,All Crops,1-5IF-1171,"November 21, 2025"
67,Agrigrowth International Corporation,AIC RM-03 Zinc Sulfate Monohydrate,Raw Material,Zn=35%,Raw Material,1-6IF-1537,"January 19, 2026"
68,Agrigrowth International Corporation,AIC RM-04 Zinc Sulfate Heptahydrate,Raw Material,Zn=21%,Raw Material,1-6IF-1538,"January 19, 2026"
69,Agrigrowth International Corporation,AIC Wofuwo (RM-02),Raw Material,"Bacillus subtilis=5.8 x 108  cfu/g, Bacillus Mucilaginosus=5.4 x 107 cfu/g",Raw Material,1-6IF-1541,"March 06, 2026"
70,Agrisagana Corp.,Agrisagana Salt,Inorganic Fertilizer,NaCl=90%,Coconut,1-1LF-0957-TPA,"January 26, 2027"
71,"Agri-Sprout Phils., Inc.",Flora Mango Flower Inducer,Inorganic Fertilizer,"NaNO3=50%w/w, KNO3=35%w/w",Mango,1-1LF-0451-TPA,"August 14, 2026"
72,Agri-Victorious Trading Corporation,Alpha Planters Fertilizer Granular Urea 46-0-0,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8914,"December 12, 2025"
73,Agri-Victorious Trading Corporation,Alpha Planters Fertilizer Urea granular,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9113,"June 20, 2026"
74,Agri-Victorious Trading Corporation,Alpha Planters Fertilizer 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8918,"December 22, 2025"
75,Agri-Victorious Trading Corporation,Alpha Planters Fertilizer 14-14-14,Inorganic Fertilizer,"N=14%%, P2O5=14%, K2O=14%",All Crops,1-1IF-8919,"December 22, 2025"
76,Agri-Victorious Trading Corporation,Alpha Planters Fertilizer Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9026,"March 06, 2026"
77,Agri-Victorious Trading Corporation,Alpha Planters Fertilizer Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9027,"March 06, 2026"
78,Agri-Victorious Trading Corporation,Soil Power,Soil Conditioner,"CaO=55.04%, MgO=0.21%-0.31%, Neutralizing Value=98.27%",All Crops,1-4LF-0808-TPA,"August 10, 2027"
79,Agri-Victorious Trading Corporation,Alpha Planters Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O=60% w/w,All Crops,1-1IF-9750,"April 24, 2028"
80,Agri-Victorious Trading Corporation,Alpha Planters Urea Granular,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9751,"May 16, 2028"
81,Agri-Victorious Trading Corporation,Alpha Planters Top Dress 17-0-17,Inorganic Fertilizer,"N=17% w/w, K2O=17% w/w",All Crops,1-1IF-9772,"May 23, 2028"
82,Agri-Victorious Trading Corporation,Alpha Planters Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-9774,"May 23, 2028"
83,Agri-Victorious Trading Corporation,Alpha Planters Complete Fertilizer,Inorganic Fertilizer,"N=14% w/w, P2O5=14% w/w, K2O=14% w/w",All Crops,1-1IF-9787,"July 11, 2028"
84,Agri-Victorious Trading Corporation,Alpha Planters Prilled Urea,Inorganic Fertilizer,N=46% w/w,All Crops,1-1IF-9788,"July 11, 2028"
85,Agri-Victorious Trading Corporation,Alpha Planters Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9793,"June 16, 2028"
86,Agri-Victorious Trading Corporation,Alpha Planters Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9792,"June 16, 2028"
87,Agri-Victorious Trading Corporation,Alpha Planters Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5 =20%",All Crops,1-1IF-9797,"June 24, 2028"
88,Agri-Victorious Trading Corporation,Alpha Planters Complete Fertilizer 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9814,"July 16, 2028"
89,Agri-Victorious Trading Corporation,Alpha Planters Prilled Urea 46-0-0,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9815,"July 16, 2028"
90,Agri-Victorious Trading Corporation,Alpha Planters Ammonium Sulfate 21-0-0+24S,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-9816,"July 18, 2028"
91,Agri-Victorious Trading Corporation,Alpha Planters Ammonium Sulfate 21-0-0+24S,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-9817,"July 18, 2028"
92,Agro Advanced International Phils. Inc.,Cripthum,Biostimulant,"Humic acid=30%, Fulvic Acid=10%",All Crops,1-7IF-0063,"June 27, 2026"
93,Agro Advanced International Phils. Inc.,Humipower Solid,Soil Conditioner,"Humic Acid=70% w/w, Fulvic Acid=5% w/w",All Crops,1-4IF-1325,"March 23, 2028"
94,Agroalternatives Inc.,Kaiser Optima 5-4-12 Foliar,Inorganic Fertilizer,"N=5%, P2O5=4%, K2O=12%, S=5000ppm, Ca=4000ppm, Zn=4000ppm, B=1500ppm, Mg= 1200ppm, Mo=6 ppm, Fe=700ppm, Mn=200ppm, Cu=100ppm, Co=200ppm, Cl=6800 ppm, Si= 300ppm",All Crops,1-1LF-7803,"December 10, 2025"
95,Agroalternatives Inc.,Prinz,Inorganic Fertilizer,"N=5%, P2O5=1%, K2O=1%",All Crops,1-1LF-2019,"April 18, 2027"
96,Agroalternatives Inc.,Meister CaBor Foliar,Inorganic Fertilizer,"N=5%, P2O5=1%, K2O=5%, Ca=5%, B=5000ppm",All Crops,1-1LF-3204,"December 06, 2027"
97,Agroalternatives Inc.,Amazink Foliar,Inorganic Fertilizer,Zn=6%,All Crops,1-1LF-3694,"July 04, 2027"
98,Agroalternatives Inc.,Kaiser 10-10-10 Foliar,Inorganic Fertilizer,"N=10%, P2O5=10%, K2O=10%, Ca=1,100 ppm, Mg=300 ppm, S=600 ppm, B=200 ppm, Cl=9 ppm, Cu=5 ppm, Fe=2 ppm, , Mn=15 ppm,  Mo=2 ppm, Zn=150 ppm",All Crops,1-1LF-2018,"April 11, 2028"
99,Agroalternatives Inc.,Silika Liquid Foliar,Inorganic Fertilizer,Si=6%,Rice,1-1LF-7285,"August 14, 2028"
100,Agroshine Corporation,Smartgrow Foliar,Inorganic Foliar Fertilizer,N=35%,All Crops,1-1IF-8894,"November 03, 2025"
101,Agroshine Corporation,Biotop Trichoderma,Biofertilizer,Trichoderma= 1.5x108 cfu/g,All Crops,1-1LF-6023,"December 20, 2026"
102,Agrotiger Phils. Corp.,Hyfer Urea (Locally Blended),Inorganic Fertilizer,N=46%,All Crops,1-1LF-4553,"December 16, 2027"
103,Agrotiger Phils. Corp.,Hygrow Foliar Reproductive,Inorganic Fertilizer,"N=2%, P2O5= 3%, K2O= 4%",All Crops,1-1LF-4912,"August 04, 2026"
104,Agrotiger Phils. Corp.,Hygrow Foliar Vegetative,Inorganic Fertilizer,"N=2%, P2O5= 1%, K2O= 3%",All Crops,1-1LF-4911,"August 04, 2026"
105,Agrotiger Phils. Corp.,Humic Shield Soil Booster,Soil Conditioner,"K2O= 2.5%, Humic Acid= 5%",All Crops,1-4LF-1344,"November 08, 2026"
106,Agrotiger Phils. Corp.,Humic Vest Leaf Booster,Soil Conditioner,"N= 1%, P2O5= 1%, K2O= 1%, Humic Acid= 6%",All Crops,1-4LF-1345,"November 08, 2026"
107,Agrotiger Phils. Corp.,Hyfer Plus Growth Enhancer Green,Inorganic Fertilizer,"N=4%, P2O5=3%, K2O=2%",All Crops,1-1LF-9005,"March 06, 2026"
108,Agrotiger Phils. Corp.,Hyfer Plus Bloom Booster Red,Inorganic Fertilizer,"N=1%, P2O5=3%, K2O=5%",All Crops,1-1LF-9006,"March 06, 2026"
109,Agrotiger Phils. Corp.,Hyfer Complete (Locally Blended) Coated,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1LF-7086,"April 02, 2027"
110,Agrotiger Phils. Corp.,Di-Ammonium Phosphate,Raw Material,"N=18%, P2O5=46%",Raw Material,1-6IF-1483,"May 12, 2027"
111,Agrotiger Phils. Corp.,Ammonium Sulphate,Raw Material,N=21%,Raw Material,1-6IF-1481,"May 12, 2027"
112,Agrotiger Phils. Corp.,Ammonium Phosphate,Raw Material,"N=16%, P2O5=20%",Raw Material,1-6IF-1487,"May 20, 2027"
113,Agrotiger Phils. Corp.,Complete Fertilizer,Raw Material,"N=14%, P2O5=14%, K2O=14%",Raw Material,1-6IF-1482,"May 12, 2027"
114,Agrotiger Phils. Corp.,Hyfer Ammosul,Inorganic Fertilizer,N=21%,All Crops,1-1LF-7161,"May 22, 2027"
115,Agrotiger Phils. Corp.,Urea,Raw Material,N=46%,Raw Material,1-6IF-1480,"May 12, 2027"
116,Agrotiger Phils. Corp.,Hyfer Monoammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1LF-7162,"May 22, 2027"
117,Agrotiger Phils. Corp.,Hyfer Muriate of Potash (Locally coated),Inorganic Fertilizer,K2O=61%,All Crops,1-1LF-4196,"August 22, 2027"
118,Agrotiger Phils. Corp.,Yieldmax Biostimulant,Biostimulant,"Humic Acid=4.5%, K2O = 0.3%",All Crops,1-7LF-0093,"October 21, 2027"
119,Agrotiger Phils. Corp.,Humate Powder,Raw Material,Humic Acid=50-60%,Raw Material,1-6IF-1576,"November 27, 2027"
120,Agrotiger Phils. Corp.,Hyfer Plus Huminrich Biostimulant,Biostimulant,"K2O=5%, Humic Acid=21%",All Crops,1-7LF-0113,"April 07, 2028"
121,Agrotiger Phils. Corp.,Hyfer Humic Gold,Biostimulant,"K2O=9.5%, Humic Acid=66%",All Crops,1-7IF-0111,"April 04, 2028"
122,Agrotiger Phils. Corp.,Hyfer Urea Max (Locally Blended Coated),Inorganic Fertilizer,"N=44%, Humic Acid=13%",Pechay and Banana,1-1LF-7640,"July 12, 2028"
123,Agrotiger Phils. Corp.,Ozoneem,Raw Material,"Free Fatty Acid=1.78%, Saponification Number=180mg KOH/g",Raw Material,1-6IF-1339,"September 05, 2028"
124,AgSmart Corporation,Fertisulf,Inorganic Fertilizer,S= 99.9% DP,"Banana, Pineapple, Vegetables",1-1IF-8119,"November 27, 2026"
125,AgSmart Corporation,SmartCal,Inorganic Fertilizer,CaO= 56.5%,All Crops,1-1IF-9215,"August 31, 2026"
126,AgSmart Corporation,Agsmart Urea,Inorganic Fertilizer,N= 46% w/w,All Crops,1-1IF-9343,"January 16, 2027"
127,AgSmart Corporation,Agsmart Boron 15%,Inorganic Fertilizer,B= 15%,All Crops,1-1IF-9380,"February 08, 2027"
128,AgSmart Corporation,Agsmart Ammonium Sulfate,Inorganic Fertilizer,"N= 21% w/w, S= 24% w/w",All Crops,1-1IF-9381,"February 08, 2027"
129,AgSmart Corporation,Agsmart Boron 20%,Inorganic Fertilizer,B= 20%,All Crops,1-1IF-9382,"February 08, 2027"
130,AgSmart Corporation,Agsmart Zinc,Inorganic Fertilizer,"Zn= 22%, S=10%",All Crops,1-1IF-9409,"March 04, 2027"
131,AgSmart Corporation,Agsmart Triple 14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9408,"March 04, 2027"
132,AgSmart Corporation,Agsmart Humic Acid,Soil Conditioner,Humic Acid=65%,All Crops,1-4IF-1359,"April 02, 2027"
133,AgSmart Corporation,Agsmart Urea (46-0-0),Inorganic Fertilizer,N=46%,All Crops,1-1IF-9432,"April 11, 2027"
134,AgSmart Corporation,Agsmart Copper Sulphate,Inorganic Fertilizer,"Cu=25%, S=12%",All Crops,1-1IF-9435,"April 11, 2027"
135,AgSmart Corporation,Agsmart Boron 21%,Inorganic Fertilizer,B=21%,All Crops,1-1IF-9643,"November 27, 2027"
136,Agsmart Corporation,Calamate,Inorganic Fertilizer,"N=15.5%, CaO=26%",All Crops,1-1IF-9755,"May 16, 2028"
137,Agsmart Corporation,Agsmart Bio 1B,Biofertilizer,Bacillus subtilis=1x10? cfu/ml,All Crops,1-7IF-121,"May 27, 2028"
138,Agspec Philippines Corporation,Fokus K,Inorganic Foliar Fertilizer,"N=3%, K2O=31%","Rice, Corn, Mango, and Potato",1-1IF-4439,"September 05, 2025"
139,Agspec Philippines Corporation,Atlantik 48SL,Inorganic Foliar Fertilizer,Ascophyllum nodusom=48%,"Tobacco, Leafy And Fruiting Vegetables",1-1IF-4565,"January 17, 2026"
140,Agspec Philippines Corporation,Vaksi K,Inorganic Fertilizer,"P2O5=30%, K2O=20%","Rice, Corn, Mango, Banana, Cabbage, Potato and Tobacco",1-1IF-4440,"September 05, 2025"
141,Agspec Philippines Corporation,Flupro 14EC,Plant Growth Regulator,Flumetralin=13.7% - 14%,Tobacco,1-5IF-1168,"September 01, 2025"
142,Agspec Philippines Corporation,Flupro 14EC,Plant Growth Regulator,Flumetralin=13.7% -14%,Tobacco,1-5IF-1174,"May 16, 2026"
143,Agspec Philippines Corporation,Flupro 14EC,Plant Growth Regulator,Flumetralin=13.7% - 14%,Tobacco,1-1IF-4750,"April 17, 2026"
144,Agway Chemicals Corporation,SC+ Dolomite Inorganic Fertilizer,Inorganic Fertilizer,Mg=10% (w/v)m Ca=17% (w/v),All Crops,1-1IF-8949,"January 23, 2026"
145,Agway Chemicals Corporation,Calcium Boron Max,Inorganic Foliar Fertilizer,"Ca=12% w/v, B=1% (10000 ppm) w/v",All Crops,1-1IF-8879,"October 17, 2025"
146,Agway Chemicals Corporation,Zincmate,Inorganic Fertilizer,Zn=15% (w/v),All Crops,1-1IF-4990,"September 19, 2025"
147,Agway Chemicals Corporation,Great Crop 19-19-19,Inorganic Fertilizer,"N=19%, P2O5=19%, K2O=19%",All Crops,1-1IF-7770,"November 04, 2025"
148,Agway Chemicals Corporation,Agway Greenfast 25 SC,Plant Growth Regulator,Paclobutrazol=25%,Mango,1-5IF-1149,"September 15, 2025"
149,Agway Chemicals Corporation,Khumate S100,Soil Conditioner,Total Potassium Humate and Fulvate= 85%,All Crops,1-4IF-1243,"March 20, 2026"
150,Agway Chemicals Corporation,Great Planters Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn=21% (w/w),All Crops,1-1IF-9038,"March 31, 2026"
151,Agway Chemicals Corporation,Great Planters Muriate of Potash (Granular),Inorganic Fertilizer,K2O= 60% w/w,All Crops,1-1IF-9284,"October 18, 2026"
152,Agway Chemicals Corporation,Great Planters Muriate of Potash (Powder),Inorganic Fertilizer,K2O= 60% w/w,All Crops,1-1IF-9285,"October 18, 2026"
153,Agway Chemicals Corporation,Atlantik 48SL,Inorganic Fertilizer,Ascophyllum nodosum=48%,"Tobacco, Leafy and Fruiting Vegetables",1-1IF-0784-TPA,"January 17, 2026"
154,Agway Chemicals Corporation,Khumate 26%,Soil Conditioner,Potassium Humate=26% w/v,All Crops,1-4IF-1238,"December 08, 2026"
155,Agway Chemicals Corporation,Agway Greenfast 25 SC Plant Growth Promoter,Plant Growth Regulator,Paclobutrazol=25%,Mango,1-5IF-1144,"October 17, 2027"
156,Agway Chemicals Corporation,Great Planters Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn=21.5%,All Crops,1-1IF-9594,"November 05, 2027"
157,Agway Chemicals Corporation,Great Calcium-N,Inorganic Fertilizer,"Total Nitrogen=15.5%, Nitrate-Nitrogen=14.4%, Ammoniacal Nitrogen=1.1%, Ca=18%",All Crops,1-1IF-9595,"November 08, 2027"
158,Agway Chemicals Corporation,Great Planters Urea (46-0-0),Inorganic Fertilizer,N=46%,All Crops,1-1IF-9650,"December 17, 2027"
